         91460 function calls (89740 primitive calls) in 14.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      201    0.000    0.000    0.005    0.000 __init__.py:330(_compile)
        5    0.000    0.000    0.000    0.000 process.py:80(__init__)
        2    0.000    0.000    0.002    0.001 _weakrefset.py:95(copy)
        5    0.000    0.000    0.005    0.001 popen_fork.py:16(__init__)
        5    0.000    0.000    0.007    0.001 process.py:110(start)
        1    0.000    0.000    0.007    0.007 pool.py:314(_repopulate_pool_static)
        7    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
        8    0.000    0.000    0.001    0.000 __init__.py:775(__init__)
     1458    0.000    0.000    0.000    0.000 _parser.py:239(__next)
       34    0.000    0.000    0.000    0.000 enum.py:251(__set_name__)
      6/3    0.000    0.000    0.004    0.001 {method 'poll' of 'select.poll' objects}
      178    0.000    0.000    0.000    0.000 enum.py:1607(__and__)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.000    0.000 spawn.py:160(get_preparation_data)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      629    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
     1662    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       13    0.000    0.000    0.061    0.005 __init__.py:1(<module>)
       96    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      871    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      936    0.000    0.000    0.000    0.000 utils.py:375(<genexpr>)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       13    0.000    0.000    0.000    0.000 util.py:253(__init__)
      544    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      125    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        7    0.000    0.000    0.002    0.000 synchronize.py:50(__init__)
       12    0.000    0.000    0.001    0.000 resource_tracker.py:198(_ensure_running_and_write)
       38    0.000    0.000    0.000    0.000 _compiler.py:514(_compile_info)
     1679    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     1373    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       10    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      238    0.000    0.000    0.000    0.000 enum.py:829(__setattr__)
    96/10    0.000    0.000    0.052    0.005 <frozen importlib._bootstrap_external>:1020(exec_module)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      136    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       26    0.000    0.000    0.000    0.000 {built-in method posix.write}
      136    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      627    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      627    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1127    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      505    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      3/0    0.000    0.000    0.000          threading.py:1000(_bootstrap)
        5    0.000    0.000    0.000    0.000 threading.py:869(__init__)
       38    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      2/1    0.000    0.000   14.699   14.699 bpe_parallel.py:157(train_bpe)
       20    0.000    0.000    0.000    0.000 connection.py:1184(reduce_connection)
       93    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000   14.434   14.434 pool.py:500(_wait_for_updates)
       14    0.000    0.000    0.001    0.000 reduction.py:48(dumps)
     1063    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
       38    0.000    0.000    0.005    0.000 _compiler.py:743(compile)
       22    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
      229    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      290    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
   281/21    0.000    0.000    0.050    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      241    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      136    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        2    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
       37    0.000    0.000    0.002    0.000 {built-in method builtins.next}
       41    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
      6/3    0.000    0.000   14.432    4.811 selectors.py:385(select)
      920    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.001    0.001 _main.py:459(_compile)
      920    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       97    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
       23    0.000    0.000    0.000    0.000 {built-in method posix.close}
       36    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        4    0.000    0.000    0.001    0.000 queues.py:389(put)
      930    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
      427    0.000    0.000    0.000    0.000 _parser.py:163(__len__)
      117    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      601    0.000    0.000    0.000    0.000 _parser.py:255(match)
       38    0.000    0.000    0.003    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      105    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        8    0.000    0.000    0.001    0.000 enum.py:498(__new__)
      241    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
    67/46    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      3/0    0.000    0.000    0.000          threading.py:1027(_bootstrap_inner)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      341    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       22    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
        4    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       81    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       59    0.000    0.000    0.000    0.000 _local.py:117(__init__)
       12    0.000    0.000    0.000    0.000 message.py:500(get)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      555    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        3    0.000    0.000   14.434    4.811 {method 'join' of '_thread._ThreadHandle' objects}
       10    0.000    0.000    0.001    0.000 reduction.py:58(dump)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       77    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      238    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      3/1    0.000    0.000   14.434   14.434 threading.py:983(run)
      141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        7    0.000    0.000    0.000    0.000 util.py:238(register_after_fork)
      310    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        4    0.000    0.000    0.000    0.000 connection.py:182(send_bytes)
      218    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
        1    0.000    0.000   14.434   14.434 pool.py:527(_handle_tasks)
        1    0.000    0.000    0.000    0.000 std.py:116(create_mp_lock)
     12/7    0.000    0.000    0.001    0.000 _regex_core.py:462(parse_sequence)
        1    0.000    0.000    0.001    0.001 quoprimime.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        5    0.000    0.000    0.000    0.000 pool.py:179(Process)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      273    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      109    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      6/4    0.000    0.000    0.000    0.000 {built-in method posix.read}
      272    0.000    0.000    0.000    0.000 _parser.py:292(tell)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      202    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       14    0.000    0.000    0.000    0.000 connection.py:406(_send_bytes)
        1    0.000    0.000   14.699   14.699 pool.py:680(_terminate_pool)
       35    0.000    0.000    0.000    0.000 enum.py:1059(_add_member_)
      254    0.000    0.000    0.000    0.000 _parser.py:175(append)
      466    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      460    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        5    0.000    0.000    0.000    0.000 {built-in method posix.kill}
      106    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
       31    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        6    0.000    0.000    0.003    0.000 context.py:65(Lock)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        2    0.000    0.000    0.000    0.000 enum.py:987(_find_data_type_)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      5/4    0.000    0.000   10.008    2.502 threading.py:641(wait)
        6    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      334    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.001    0.001 resource_tracker.py:158(_launch)
        3    0.000    0.000   14.433    4.811 queues.py:372(empty)
        5    0.000    0.000    0.000    0.000 spawn.py:83(get_command_line)
       14    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2316(__init__)
       38    0.000    0.000    0.002    0.000 _compiler.py:576(_code)
      2/1    0.000    0.000    0.000    0.000 context.py:115(Pool)
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
    47/35    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      106    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
  470/469    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       23    0.000    0.000    0.000    0.000 _regex_core.py:1731(lookup_property)
       12    0.000    0.000    0.000    0.000 selectors.py:340(register)
       70    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
      120    0.000    0.000    0.000    0.000 enum.py:1439(_iter_member_by_value_)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x10330c2c0}
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      271    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      169    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        2    0.000    0.000    0.002    0.001 std.py:1150(__str__)
        7    0.000    0.000    0.000    0.000 random.py:458(choices)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 inspect.py:2383(_signature_from_function)
       12    0.000    0.000    0.000    0.000 selectors.py:238(register)
        1    0.000    0.000    0.000    0.000 pool.py:289(_join_exited_workers)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       10    0.000    0.000    0.000    0.000 process.py:347(__reduce__)
        3    0.000    0.000    0.003    0.001 context.py:110(SimpleQueue)
       31    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
       60    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
    34/33    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       90    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        7    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
       20    0.000    0.000    0.000    0.000 reduction.py:191(DupFd)
      3/2    0.000    0.000    0.000    0.000 connection.py:429(_recv_bytes)
      2/1    0.000    0.000   14.699   14.699 train_bpe_on_dataset.py:1(<module>)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      113    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
        4    0.000    0.000    0.000    0.000 threading.py:955(start)
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _main.py:1(<module>)
        1    0.000    0.000    4.412    4.412 pool.py:853(next)
        2    0.000    0.000    0.000    0.000 __init__.py:334(__new__)
       72    0.000    0.000    0.000    0.000 _collections.py:20(__missing__)
        2    0.000    0.000    0.000    0.000 queues.py:383(get)
       14    0.000    0.000    0.000    0.000 connection.py:381(_send)
        6    0.000    0.000    0.000    0.000 selectors.py:206(__exit__)
      126    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
       10    0.000    0.000    0.001    0.000 process.py:224(exitcode)
       70    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
        2    0.000    0.000    0.000    0.000 threading.py:1136(is_alive)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
        1    0.000    0.000    0.001    0.001 std.py:952(__init__)
        6    0.000    0.000    0.001    0.000 selectors.py:213(__init__)
        2    0.000    0.000    0.000    0.000 signal.py:69(pthread_sigmask)
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
       10    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
       10    0.000    0.000    0.000    0.000 connection.py:202(send)
